original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
great ! i had no trouble getting it on with zero bubbles,ridiculous !  i had trouble getting it on with zero bubbles .,Besar ! saya tidak kesulitan melakukannya tanpa gelembung,konyol ! saya kesulitan melakukannya tanpa gelembung.,Big ! I had no trouble doing it without bubbles,stupid ! I have a hard time doing it without bubbles.
The inside of the case that contacts the phone is extremely smooth and soft.,the inside of the case that contacts the phone is not smooth at all .,Bagian dalam casing yang bersentuhan dengan telepon sangat halus dan lembut.,bagian dalam case yang bersentuhan dengan ponsel tidak mulus sama sekali.,The inside of the case that comes into contact with the phone is very smooth and soft.,the inside of the case that comes into contact with the phone is not smooth at all.
i purchased them and when they arrived they were in perfect shape!,i purchased them and when they arrived they were torn .,"saya membelinya dan ketika tiba, kondisinya sempurna!","saya membelinya dan ketika tiba, robek.","I bought it and when it arrived, it was in perfect condition!","i bought it and when it arrived, it was torn."
"this mascara is not only soft, and was completely full","while the mascara is soft ,  it is not full .","maskara ini tidak hanya lembut, tapi juga penuh","Meskipun maskaranya lembut, namun tidak penuh.","This mascara is not only soft, but also full","Although the mascara is creamy, it is not full."
i will buy hamilton beach products again .,i will never buy hamilton beach products again .,saya akan membeli produk pantai hamilton lagi.,saya tidak akan pernah membeli produk hamilton beach lagi.,I will buy Hamilton Beach products again.,I will never buy Hamilton Beach products again.
I was glad to buy one out on the road.,i had to buy one out on the road .,Saya senang membelinya di jalan.,saya harus membeli satu di jalan.,I'm happy to buy it on the road.,I should buy one on the way.
i know it will be a better choice .,i hope it will be a better choice .,aku tahu itu akan menjadi pilihan yang lebih baik.,saya harap ini akan menjadi pilihan yang lebih baik.,I knew it would be a better choice.,I hope this will be a better choice.
it was fun and great for all,"the kids thought it was great ,  but it got old pretty quick .",itu menyenangkan dan bagus untuk semua,"anak-anak menganggap itu bagus, tapi ternyata cepat tua.",it's fun and good for all,"kids think it's great, but it gets old quickly."
also the headphones feel comfortable on your head .,also the headphones do not feel comfortable on your head .,juga headphone terasa nyaman di kepala Anda.,juga headphone tidak terasa nyaman di kepala Anda.,also the headphones feel comfortable on your head.,also the headphones don't feel comfortable on your head.
i mean she didn't fall apart she didn't break down in a hundred pieces .,i mean she felt apart she broked down in a hundred pieces .,"Maksudku, dia tidak hancur, dia tidak hancur berkeping-keping.","Maksudku, dia merasa terpisah, dia hancur berkeping-keping.","I mean, he's not broken, he's not torn to pieces.","I mean, he felt separated, he was torn apart."
It fit so well together.,"it almost fit ,  but not enough to snap completely together and fit .",Itu sangat cocok satu sama lain.,"hampir pas, tapi tidak cukup untuk menyatu dan pas.",It fits each other perfectly.,"it almost fits, but not quite enough to blend and fit."
i loved ordering on here because they were alot cheaper .,i only ordered on here because they were alot cheaper .,Saya suka memesan di sini karena harganya jauh lebih murah.,saya hanya pesan di sini karena harganya jauh lebih murah.,I like ordering here because the prices are much cheaper.,I only order here because the price is much cheaper.
works great,try it once and you won t think it s stupid .,bekerja dengan baik,cobalah sekali dan Anda tidak akan menganggapnya bodoh.,work well,try it once and you won't find it stupid.
i was also slightly disappointed at how fast it drains the batteries,i was also very disappointed at how quickly it drains the batteries .,saya juga sedikit kecewa dengan betapa cepatnya baterai terkuras,saya juga sangat kecewa dengan betapa cepatnya baterai terkuras.,I was also a little disappointed with how quickly the battery drained,I was also very disappointed with how quickly the battery drained.
this case is cute and there are other good things about it .,this case is cute however the is the only good thing about it .,kasing ini lucu dan ada hal baik lainnya di dalamnya.,kasing ini lucu namun itulah satu-satunya kelebihannya.,this case is cute and there are other good things inside.,This case is cute but that's its only advantage.
this is a good hoodie and very well made .,this is a good hoodie and well made .,ini hoodie yang bagus dan dibuat dengan sangat baik.,ini hoodie yang bagus dan dibuat dengan baik.,This is a great hoodie and very well made.,"This is a great, well made hoodie."
another low num_num of calories from the other low num_num grams of carbohydrates .,another num_num calories from the other num_num grams of carbohydrates .,satu lagi jumlah kalori rendah dari jumlah gram karbohidrat rendah lainnya.,num_num kalori lainnya dari num_num gram karbohidrat lainnya.,another low number of calories from another low number of grams of carbohydrates.,another num_num of calories from another num_num of carbohydrate grams.
i used the product for five days straight  .,i used the product for five days straight before running out .,saya menggunakan produk tersebut selama lima hari berturut-turut.,Saya menggunakan produk ini selama lima hari berturut-turut sebelum kehabisan.,I used the product for five days in a row.,I used this product for five days straight before running out.
"went to the second one using the same method, it worked.","went to the second one using the same method ,  no go .","pergi ke yang kedua menggunakan metode yang sama, berhasil.","pergi ke yang kedua menggunakan metode yang sama, tidak pergi.","went to the second one using the same method, it worked.","go to the second one using the same method, no go."
stir fry is fun,if you are stir frying your ingredients  i . e .,tumis itu menyenangkan,jika Anda menggoreng bahan-bahan Anda i. e.,stir fry is fun,if you fry your ingredients i. e.
perfect for night,so not that great for leaving on at night .,sempurna untuk malam hari,jadi tidak terlalu bagus untuk berangkat pada malam hari.,perfect for the evening,so it's not very good to leave at night.
it would help to reply with the filter part number and your location,please reply with the filter part number and your location .,akan membantu jika membalas dengan nomor bagian filter dan lokasi Anda,silakan balas dengan nomor bagian filter dan lokasi Anda.,It would be helpful to reply with the filter part number and your location,please reply with the filter part number and your location.
they have a medium pile lining that has more of a stiffer polyester feel that is great .,they have a medium pile lining that has more of a stiffer polyester feel .,mereka memiliki lapisan tumpukan sedang yang memiliki lebih banyak kesan poliester kaku yang bagus.,mereka memiliki lapisan tumpukan sedang yang memiliki kesan poliester lebih kaku.,they have a medium pile lining that has more of a nice stiff polyester feel.,they have a medium pile lining that has a stiffer polyester feel.
it makes a useful buzzing sound when devices are plugged in,it makes a buzzing sound when devices are plugged in .,itu mengeluarkan suara mendengung yang berguna saat perangkat dicolokkan,itu mengeluarkan suara mendengung saat perangkat dicolokkan.,it makes a useful buzzing sound when the device is plugged in,it makes a buzzing sound when the device is plugged in.
"we plugged in an extra headset laying around the house , it worked perfectly .",we plugged in an extra headset laying around the house .,"kami memasang headset tambahan yang ada di sekitar rumah, itu berfungsi dengan sempurna.",kami memasang headset tambahan yang tergeletak di sekitar rumah.,"we installed an extra headset we had around the house, it worked perfectly.",we installed an extra headset that was lying around the house.
the description on the website did state that the straps were elastic .,the description on the website did not state that the straps were elastic .,deskripsi di website menyatakan bahwa tali pengikatnya elastis.,deskripsi di website tidak menyatakan bahwa talinya elastis.,the description on the website states that the straps are elastic.,the description on the website does not state that the strap is elastic.
there are several matches to choose from.,"once you play one match ,  you ve played them all .",ada beberapa pertandingan untuk dipilih.,"sekali Anda memainkan satu pertandingan, Anda telah memainkan semuanya.",there are several games to choose from.,"once you play one game, you have played them all."
the computer moved,"the computer recognized the usb connection ,  but the cursor never moved .",komputernya bergerak,"komputer mengenali koneksi usb, namun kursor tidak pernah bergerak.",the computer moves,"the computer recognizes the usb connection, but the cursor never moves."
you get what you pay for,i don t think the saying  you get what you pay  .,kau mendapatkan apa yang kau bayar,menurutku tidak ada pepatah yang mengatakan Anda mendapatkan apa yang Anda bayar.,you get what you pay for,I don't think there's a saying that says you get what you pay for.
that's exactly what it felt like with the original gel adhesive.,that s not what it felt like with the original gel adhesive .,persis seperti itulah rasanya dengan perekat gel asli.,tidak seperti itu rasanya dengan perekat gel asli.,that's exactly how it feels with real gel adhesive.,that's not how it feels with real gel adhesive.
so far i am very happy.,so far i am not at all happy .,sejauh ini saya sangat senang.,sejauh ini aku sama sekali tidak bahagia.,So far I'm very happy.,So far I'm not happy at all.
i reported the issue and it was resolved immediately.,i reported it havent heard a word about it .,saya melaporkan masalahnya dan segera teratasi.,saya melaporkan belum mendengar sepatah kata pun tentang hal itu.,I reported the problem and it was resolved immediately.,I report having not heard a word about it.
the glitter look is great on my face,it looks like i ve splashed glitter all over my face .,tampilan gemerlapnya bagus sekali di wajahku,sepertinya aku telah memercikkan glitter ke seluruh wajahku.,the glitter looks great on my face,it looked like I had splashed glitter all over my face.
this case looks amazing and there's much more to say about it.,this case looks nice but that s about it .,kasus ini tampak luar biasa dan masih banyak lagi yang bisa dikatakan tentangnya.,kasus ini terlihat bagus tapi itu saja.,this case looks amazing and there is so much more to say about it.,the case looks nice but that's all.
"as I get hit, my health endurance increases significantly","as i get hit ,  my health endurance goes down .","saat aku tertabrak, daya tahan kesehatanku meningkat secara signifikan","saat aku tertabrak, daya tahan kesehatanku menurun.","when I got hit, my health resistance increased significantly","when I got hit, my health resistance decreased."
i'd suggest anyone looking to purchase linksys products look into netgear instead to see how good linksys is in comparison .,i d suggest anyone looking to purchase linksys products look into netgear instead .,Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear untuk melihat seberapa bagus Linkys dibandingkan.,Saya menyarankan siapa pun yang ingin membeli produk Linkys melihat ke Netgear saja.,I suggest anyone looking to purchase a Linkys product look to Netgear to see how good the Linkys is in comparison.,I suggest anyone looking to purchase a Linkys product look at Netgear instead.
it will be great after the fitting,maybe it just needs broken in and some fine fitting .,itu akan menjadi bagus setelah pemasangan,mungkin itu hanya perlu dibobol dan dipasang dengan baik.,it will be great after installation,maybe it just needs to be broken in and installed properly.
used it without problems,i ve used it twice and it has stopped working .,menggunakannya tanpa masalah,saya sudah menggunakannya dua kali dan berhenti berfungsi.,use it without problems,I've used it twice and it stopped working.
i loved putting it together to surprise my husband .,i put it together to surprise my husband .,aku senang menyusunnya untuk memberi kejutan pada suamiku.,aku menyusunnya untuk mengejutkan suamiku.,I love putting it together to surprise my husband.,I put it together to surprise my husband.
it stopped odor,this did not stop odor and my pets wanted to eat it .,itu berhenti berbau,ini tidak menghilangkan bau dan hewan peliharaan saya ingin memakannya.,it stopped smelling,it doesn't remove the smell and my pets want to eat it.
they look like they would keep my ears warm .,it s too bad because they look like they would keep my ears warm .,sepertinya mereka akan membuat telingaku tetap hangat.,sayang sekali karena sepertinya akan membuat telingaku tetap hangat.,it looks like they'll keep my ears warm.,It's a shame because it seems like it would keep my ears warm.
save yourself some time and money and think twice about this product,save yourself some time and money and skip this product .,menghemat waktu dan uang dan berpikir dua kali tentang produk ini,hemat waktu dan uang dan lewati produk ini.,save time and money and think twice about this product,save time and money and skip this product.
i kept it though as i use it constantly,i kept it though i do not use it .,aku menyimpannya karena aku menggunakannya terus-menerus,aku menyimpannya meskipun aku tidak menggunakannya.,I keep it because I use it all the time,I keep it even though I don't use it.
i loved it because they taste so great.,i could barely get through it they taste so nasty .,saya menyukainya karena rasanya sangat enak.,"aku hampir tidak bisa melewatinya, rasanya sangat tidak enak.",I like it because it tastes very good.,"I could barely get through it, it felt so bad."
amazon provides ample information about this press .,amazon does not provide enough information about this press .,amazon memberikan banyak informasi tentang pers ini.,amazon tidak memberikan informasi yang cukup tentang pers ini.,amazon provides a lot of information about this press.,amazon does not provide enough information about this press.
i can t send it back because i don t have it anymore,i can t send it back again because i don t have it .,saya tidak dapat mengirimkannya kembali karena saya tidak memilikinya lagi,saya tidak dapat mengirimkannya kembali karena saya tidak memilikinya.,I can't send it back because I don't have it anymore,I can't send it back because I don't have it.
i ve used these a few times and loved them .,i ve used these a few times and broke them very easily .,saya telah menggunakan ini beberapa kali dan menyukainya.,saya telah menggunakan ini beberapa kali dan memecahkannya dengan sangat mudah.,I have used this several times and love it.,i have used this several times and solved it very easily.
with this i say i love working to give support to the u . s .,with this i say i work giving support to the u . s .,dengan ini saya katakan saya senang bekerja untuk memberikan dukungan kepada Anda. S .,dengan ini saya katakan saya bekerja memberikan dukungan kepada Anda. S .,I hereby say I am happy to work to provide support to you. S .,I hereby say I am working to provide support to you. S .
i had much better luck with this than the other three pairs mentioned,i had much better luck with the other three pairs mentioned .,saya lebih beruntung dengan ini daripada tiga pasangan lainnya yang disebutkan,saya lebih beruntung dengan tiga pasangan lainnya yang disebutkan.,I've had better luck with this than the other three pairs mentioned,I had better luck with the other three pairs mentioned.
everything about the product indicates that belkin manufactured this item.,there was nothing at all to indicate that belkin manufactured this item .,segala sesuatu tentang produk menunjukkan bahwa belkin memproduksi barang ini.,tidak ada sama sekali yang menunjukkan bahwa belkin memproduksi barang ini.,everything about the product indicates that belkin manufactures this item.,there is absolutely nothing to indicate that belkin manufactures this item.
I say this as a guy who is lucky to have thin wrists too.,i say this as a guy with fairly thin wrists too .,Saya mengatakan ini sebagai seorang pria yang beruntung memiliki pergelangan tangan yang tipis juga.,aku mengatakan ini sebagai pria dengan pergelangan tangan yang cukup tipis juga.,I say this as a guy who is lucky to have thin wrists too.,I say this as a guy with pretty thin wrists too.
i used it first and loved it on my hands and fingers.,i first used it on my hands and fingers .,saya menggunakannya pertama kali dan menyukainya di tangan dan jari saya.,saya pertama kali menggunakannya di tangan dan jari saya.,I used it the first time and loved it on my hands and fingers.,I first used it on my hands and fingers.
like how many times you face the nazgul and how easily you win .,like how many times you face the nazgul and how easily they are beaten .,seperti berapa kali kamu menghadapi nazgul dan seberapa mudah kamu menang.,seperti berapa kali kamu menghadapi nazgul dan betapa mudahnya mereka dikalahkan.,like how many times you face the nazgul and how easily you win.,like how many times you face the nazgul and how easily they are defeated.
me too is a amazing brand and make very comfortable shoes .,me too is a nice brand and make very comfortable shoes .,saya juga adalah merek yang luar biasa dan membuat sepatu yang sangat nyaman.,saya juga adalah merek yang bagus dan membuat sepatu yang sangat nyaman.,i too is an amazing brand and makes very comfortable shoes.,mine is also a good brand and makes very comfortable shoes.
is that what you re looking for ? get it here .,is that what you re looking for ?  go elsewhere .,apakah itu yang kamu cari? dapatkan disini .,apakah itu yang kamu cari? pergi ke tempat lain.,is that what you are looking for? get it here.,is that what you are looking for? go somewhere else.
not a ripoff,"basically ,  this product is a ripoff on consumers .",bukan penipuan,"pada dasarnya, produk ini merupakan penipuan terhadap konsumen.",not fraud,"Basically, this product is a fraud on consumers."
this particular variety tastes wonderful.,this particular variety is rather lacking in the flavor department .,variasi khusus ini rasanya enak.,variasi khusus ini agak kurang dalam hal rasa.,this particular variation tastes delicious.,This particular variation is a bit lacking in terms of taste.
The jawbone technology performs can perform really well.,the jawbone may perform admirably as far as technology .,Kinerja teknologi tulang rahang dapat bekerja dengan sangat baik.,tulang rahang dapat bekerja dengan sangat baik dalam hal teknologi.,The performance of jaw bone technology can work very well.,Jawbones can work wonders in terms of technology.
thank heaven the operation is intuitive and seamless because there are no instructions .,thank heaven the operation is intuitive because there are no instructions .,syukurlah pengoperasiannya intuitif dan lancar karena tidak ada instruksi.,syukurlah pengoperasiannya intuitif karena tidak ada instruksi.,thankfully the operation is intuitive and smooth as there are no instructions.,thankfully the operation is intuitive as there are no instructions.
i like the gem stones,im thinking num_num gem stones in at least a num_num inch wheel .,saya suka batu permata,Saya berpikir num_num batu permata setidaknya dalam roda num_num inci.,I like gemstones,I'm thinking num_num gemstones in at least num_num inch wheel.
my cats absolutely love these springs,my cat just isn t at all interested in these springs .,kucing saya sangat menyukai mata air ini,kucingku sama sekali tidak tertarik dengan mata air ini.,my cat really likes this spring,My cat is not interested in this spring at all.
good for many days.,good for one day only . and opi test this product on animals .,baik untuk beberapa hari.,baik untuk satu hari saja. dan opi menguji produk ini pada hewan.,good for a few days.,good for just one day. and opi tested this product on animals.
it is the fun players that keep halo multiplay popular.,it s the lame players that drives halo multiplay into the ground .,para pemain menyenangkanlah yang membuat halo multiplay tetap populer.,itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.,It's the fun players that keep Halo Multiplay popular.,it's the lame players that drive halo multiplay into the ground.
"mine is a piece of treasure , as far as i am concerned .","mine is a piece of junk ,  as far as i am concerned .","milikku adalah harta karun, sejauh yang kuketahui.","milikku hanyalah sampah, sejauh yang kuketahui.","mine is a treasure, as far as I'm concerned.","mine is just trash, as far as I'm concerned."
I think it was me and not the product doing it.,i have no idea if it s me or this product doing .,Saya pikir itu adalah saya dan bukan produk yang melakukannya.,saya tidak tahu apakah itu saya atau produk ini yang melakukannya.,I think it was me and not the product that did it.,I don't know if it was me or this product that did it.
this is due to the long lasting high quality lasers they put in them,this is due to the short lived cheaper lasers they put in them .,ini karena laser berkualitas tinggi yang tahan lama dan tahan lama yang mereka masukkan ke dalamnya,hal ini disebabkan oleh laser yang berumur pendek dan lebih murah yang mereka masukkan ke dalamnya.,"this is because of the long lasting, high quality lasers they put into them","this is due to the shorter-lived, cheaper lasers they put in them."
i wore this product today for a few hours today .,i wore this product today  .,saya memakai produk ini hari ini selama beberapa jam hari ini.,saya memakai produk ini hari ini.,I used this product today for several hours today.,I used this product today.
